GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 2
TotalNumTrainingExamples: 13
NumberOfClasses: 1
ClassIDsAndCounters: 
1	13
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 29
TimeSeriesData:
TimeSeriesData:
0.112542	0.619233
0.136724	0.546646
0.136724	0.546646
0.220492	0.402379
0.209567	0.385502
0.264618	0.297558
0.264618	0.297558
0.303646	0.1879
0.343065	0.177966
0.364779	0.142543
0.383731	0.153377
0.403935	0.150552
0.457003	0.169349
0.477666	0.188017
0.499526	0.212061
0.521594	0.245477
0.545215	0.28726
0.579696	0.386621
0.579696	0.386621
0.597966	0.451785
0.59538	0.586252
0.577345	0.65872
0.531169	0.723667
0.487776	0.782002
0.428157	0.842742
0.301476	0.908453
0.301476	0.908453
0.228615	0.904665
0.13417	0.853952
0.103223	0.811712
0.12915	0.734437
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 34
TimeSeriesData:
0.123619	0.62672
0.16942	0.513546
0.16942	0.513546
0.212962	0.420669
0.275466	0.348
0.293799	0.316284
0.300163	0.295748
0.324752	0.286215
0.351178	0.278233
0.371962	0.267543
0.394118	0.271665
0.415819	0.277508
0.438587	0.296938
0.458095	0.320292
0.503565	0.39119
0.521841	0.437726
0.546022	0.490905
0.588219	0.601508
0.569273	0.679221
0.569273	0.679221
0.525771	0.728867
0.483962	0.759218
0.36033	0.84354
0.317485	0.873924
0.189371	0.891671
0.189371	0.891671
0.13858	0.877524
0.0769812	0.810737
